"","sif_mean","prec_tot","c.NA...0.0744688138365746..NA..0.0175486113876104...0.138637855648994..","lon","lat","optional"
"238",0.319985071818034,2365.88,NA,-66,-5.5,TRUE
"239",0.300662215980324,2525.46,NA,-66,-5,TRUE
"240",0.311256401298582,2707.47,NA,-66,-4.5,TRUE
"241",0.292910592030671,2886.1,NA,-66,-4,TRUE
"242",0.296056709998895,2869.88,NA,-66,-3.5,TRUE
"243",0.309119385972055,2538.64,NA,-66,-3,TRUE
"244",0.30702357363345,2654,NA,-66,-2.5,TRUE
"245",0.317831290671121,2841.32,NA,-66,-2,TRUE
"246",0.274860542470759,2951.64,NA,-66,-1.5,TRUE
"247",0.271589401339696,2969.26,NA,-66,-1,TRUE
"248",0.20593447912307,2972,NA,-66,-0.5,TRUE
"249",0.24839973449707,2994.41,NA,-66,0,TRUE
"250",0.35141842181866,1800.57,NA,-65.5,-9,TRUE
"251",0.333796231251843,1844.45,NA,-65.5,-8.5,TRUE
"252",0.355167335187885,1884.6,NA,-65.5,-8,TRUE
"253",0.326117551963748,1923.74,NA,-65.5,-7.5,TRUE
"254",0.350372653454542,1935.23,NA,-65.5,-7,TRUE
"255",0.311268668862718,1991.15,NA,-65.5,-6.5,TRUE
"256",0.320929806641858,2176.11,NA,-65.5,-6,TRUE
"257",0.305263267900156,2459.23,NA,-65.5,-5.5,TRUE
"258",0.302631942510266,2704.49,NA,-65.5,-5,TRUE
"259",0.297273575288853,2833.73,-0.0901285856962204,-65.5,-4.5,TRUE
"260",0.299056030070233,2839.71,NA,-65.5,-4,TRUE
"261",0.264824353255235,2700.12,0.0963721722364426,-65.5,-3.5,TRUE
"262",0.1911944125561,2443.69,0.208797737956047,-65.5,-3,TRUE
"263",0.34705629104223,2595.86,NA,-65.5,-1.5,TRUE
"264",0.306677947610112,2726.63,NA,-65.5,-1,TRUE
"265",0.331789103421298,2801.42,NA,-65.5,-0.5,TRUE
"266",0.314425137578225,2844.78,-0.65794974565506,-65.5,0,TRUE
"267",0.320440229201159,2898.71,NA,-65.5,0.5,TRUE
"268",0.238120351518903,1523.5,NA,-65,-11.5,TRUE
"269",0.36395058866407,1628.81,NA,-65,-11,TRUE
"270",0.327517275907555,1835.38,NA,-65,-10.5,TRUE
"271",0.365860537478798,1953.38,NA,-65,-10,TRUE
"272",0.327676639837377,1874.32,NA,-65,-9.5,TRUE
"273",0.335610294342041,1780.47,NA,-65,-9,TRUE
"274",0.293152332305908,1813.68,NA,-65,-8.5,TRUE
"275",0.309896849758454,1941.87,NA,-65,-8,TRUE
"276",0.299891124942346,2012.29,NA,-65,-7.5,TRUE
"277",0.307070244770733,2048.34,-0.000467637233668938,-65,-7,TRUE
"278",0.281763936405821,2004.61,NA,-65,-6.5,TRUE
"279",0.307740975828732,2146.94,-0.401607096195221,-65,-6,TRUE
"280",0.230625046624078,2467.68,NA,-65,-5.5,TRUE
"281",0.0607070922851562,2713.8,NA,-65,-5,TRUE
"282",0.345812811571009,2672.84,NA,-65,-4,TRUE
"283",0.253122266133626,2542.13,NA,-65,-3.5,TRUE
"284",0.310476172597785,2407.03,0.00169062439817935,-65,-3,TRUE
"285",0.311960901532854,2291.66,0.361471652984619,-65,-2.5,TRUE
"286",0.312656471409749,2327.01,NA,-65,-2,TRUE
"287",0.291313180056485,2447.3,NA,-65,-1.5,TRUE
"288",0.320461881517176,2577.94,NA,-65,-1,TRUE
"289",0.279464009102811,2649.83,NA,-65,-0.5,TRUE
"290",0.289246756751258,2681.63,-0.00049140740884468,-65,0,TRUE
"291",0.333116513067381,2721.21,NA,-65,0.5,TRUE
"292",0.340468164148002,2781.98,NA,-65,1,TRUE
"293",0.392744940680427,1436.82,NA,-64.5,-12,TRUE
"294",0.375488225151511,1504.11,NA,-64.5,-11.5,TRUE
"295",0.330543137978816,1571.79,0.304382145404816,-64.5,-11,TRUE
"296",0.27884730306165,1785.92,NA,-64.5,-10.5,TRUE
"297",0.268646457141503,2003.79,-0.0146628394722939,-64.5,-10,TRUE
"298",0.261986313796625,1970.29,NA,-64.5,-9.5,TRUE
"299",0.275599424617807,1761.13,-0.65264892578125,-64.5,-9,TRUE
"300",0.305183223124301,1677.32,NA,-64.5,-8.5,TRUE
"301",0.301866726797135,1871.22,NA,-64.5,-8,TRUE
"302",0.307187080383301,2122.57,NA,-64.5,-7.5,TRUE
"303",0.359923044840495,1988.52,NA,-64.5,-6.5,TRUE
"304",0.290249095243566,2155.92,NA,-64.5,-6,TRUE
"305",0.297837461744036,2496.48,NA,-64.5,-5.5,TRUE
"306",0.323554880478803,2716.94,NA,-64.5,-5,TRUE
"307",0.321265016283308,2703.24,NA,-64.5,-4.5,TRUE
"308",0.331126964092255,2553.8,NA,-64.5,-4,TRUE
"309",0.347307058785466,2437.81,NA,-64.5,-3.5,TRUE
"310",0.29923152923584,2397.91,NA,-64.5,-3,TRUE
"311",0.319308364569251,2364.41,NA,-64.5,-2.5,TRUE
"312",0.306986078101011,2268.52,NA,-64.5,-2,TRUE
"313",0.321344812232328,2402.04,NA,-64.5,-1.5,TRUE
"314",0.310869677561634,2576.99,NA,-64.5,-1,TRUE
"315",0.343935171763102,2650.26,NA,-64.5,-0.5,TRUE
"316",0.252679747204448,2666.59,NA,-64.5,0,TRUE
"317",0.303109141601913,2673.39,NA,-64.5,1,TRUE
"318",0.272844461671491,2312,NA,-64.5,4,TRUE
"319",0.262924650590197,1367.82,NA,-64,-12.5,TRUE
"320",0.239352162855154,1479.48,0.167675882577896,-64,-12,TRUE
"321",0.310346391999752,1628.14,NA,-64,-11.5,TRUE
"322",0.303030967712402,1755.64,NA,-64,-11,TRUE
"323",0.251578699078476,1847.36,-0.0853049010038376,-64,-10.5,TRUE
"324",0.284477742513021,1952.89,-0.0877094492316246,-64,-10,TRUE
"325",0.421060516720726,1534.48,0.164898246526718,-64,-8.5,TRUE
"326",0.314237711722391,1798.75,NA,-64,-8,TRUE
"327",0.328647971153259,2068.33,NA,-64,-7.5,TRUE
"328",0.330001087188721,2138.12,-0.335502177476883,-64,-7,TRUE
"329",0.320710468292236,2100.34,NA,-64,-6.5,TRUE
"330",0.318175395029896,2175.39,NA,-64,-6,TRUE
"331",0.312074688437999,2373.78,NA,-64,-5.5,TRUE
"332",0.326940288520526,2466.11,NA,-64,-5,TRUE
"333",0.310566348883942,2422.65,0.028663381934166,-64,-4.5,TRUE
"334",0.315597461478058,2346.18,NA,-64,-4,TRUE
"335",0.291249783103037,2322.63,NA,-64,-3.5,TRUE
"336",0.288284152957565,2345.47,NA,-64,-3,TRUE
"337",0.273872770112136,2400.79,NA,-64,-2.5,TRUE
"338",0.415434837341309,2502.72,NA,-64,-2,TRUE
"339",0.303977983338492,2619.2,NA,-64,-1.5,TRUE
"340",0.272996192010457,2670.05,NA,-64,-1,TRUE
"341",0.289680970966487,2650.85,NA,-64,-0.5,TRUE
"342",0.322606196006139,2598.87,NA,-64,0,TRUE
"343",0.313210105895996,2530.66,NA,-64,0.5,TRUE
"344",0.325572824478149,2463.44,NA,-64,1,TRUE
"345",0.384364522736648,2437.91,NA,-64,1.5,TRUE
"346",0.30608143687477,2567.48,NA,-64,2.5,TRUE
"347",0.26950329856815,2499.23,NA,-64,3,TRUE
"348",0.320085588220048,2388.05,NA,-64,3.5,TRUE
"349",0.208689864800901,1367.82,NA,-63.5,-12.5,TRUE
"350",0.383835315704346,1479.48,NA,-63.5,-12,TRUE
"351",0.405945641653878,1755.64,NA,-63.5,-11,TRUE
"352",0.305126524590827,1847.36,NA,-63.5,-10.5,TRUE
