"","lon","lat","cor_sif_prec","p_value_sif_prec"
"170",-41.5,-12,0.937354812851143,0.000586099779004488
"171",-41.5,-10,0.87625550137907,0.00430838928026446
"172",-41.5,-7,0.719728918490598,0.0441185735960728
"173",-41.5,-6.5,0.851519009903606,0.0150376977303041
"174",-41.5,-5.5,0.71294361488131,0.0471342902071752
"175",-41.5,-4,0.695618195979844,0.0553864542685292
"176",-41,-15.5,0.815074889916077,0.0927680223222139
"177",-41,-15,0.762358300212332,0.0463028049524612
"178",-41,-12,0.808405516626673,0.0151530739294125
"179",-41,-11.5,0.884152758512768,0.00355695835222402
"180",-41,-10.5,0.686566940345782,0.0600178403260765
"181",-41,-8.5,0.833788978268661,0.0197376446188191
"182",-41,-8,0.794548510108512,0.0184769932751667
"183",-41,-7.5,0.80525464047958,0.0158727745144336
"184",-41,-7,0.683108941642653,0.0618459888390016
"185",-41,-6.5,0.668597465888488,0.0698754684014919
"186",-41,-4.5,0.716992276971018,0.0453203838126252
"187",-41,-4,0.765204902293327,0.0269290292529852
"188",-41,-3.5,0.673658862642959,0.0670090030743633
"189",-41,-3,0.624179083292325,0.0981105272607822
"190",-40.5,-17.5,0.679915529677883,0.0928482373914629
"191",-40.5,-14.5,0.796298081545042,0.0180344247809814
"192",-40.5,-14,0.696022107649318,0.0551849389089046
"193",-40.5,-11,0.963897547178445,0.00818979420924168
"194",-40.5,-9,0.852576887985925,0.00715053796787929
"195",-40.5,-8.5,0.671093207108879,0.0684531766028328
"196",-40.5,-7,0.802802589361598,0.0164474282453252
"197",-40.5,-6.5,0.914175404984007,0.00148044646997362
"198",-40.5,-6,0.625204885167979,0.0973954012878161
"199",-40,-17.5,-0.784543426550351,0.0211381267434074
"200",-40,-9,0.75924517092244,0.0288910058251866
"201",-40,-8.5,0.832444102795817,0.0103319629170499
"202",-40,-7.5,0.787460292087499,0.0203392034337229
"203",-40,-5.5,0.821663322316661,0.0123506324461582
"204",-39.5,-13,0.626300763376211,0.0966347428247835
"205",-39.5,-11,0.673585347384609,0.0670501308329018
"206",-39.5,-10.5,0.759313095525447,0.0288681642861715
"207",-39.5,-10,0.650095357260474,0.0809607351576302
"208",-39.5,-9,0.795013291647297,0.0326084756656083
"209",-39.5,-8,0.673255000710026,0.0973630014205197
"210",-39.5,-6.5,0.694550945886037,0.0559210298974024
"211",-39.5,-4.5,0.624565302228888,0.0978409263199934
"212",-39,-15.5,0.804253674204357,0.0161058094108923
"213",-39,-13,-0.751843069256594,0.0314472134975915
"214",-39,-12.5,0.890225350624278,0.00304079300983279
"215",-39,-8.5,0.890553359709052,0.00301438744960259
"216",-39,-6.5,0.873330024566389,0.00461064734729935
"217",-39,-5.5,0.649678272211791,0.0812216814562005
"218",-39,-5,0.933867944148738,0.000687674017192951
"219",-38.5,-10.5,0.689279706890493,0.0586064649004857
"220",-38.5,-9.5,0.661933385993705,0.0737579815272064
"221",-38.5,-9,0.739002427533569,0.0362013184567068
"222",-38.5,-8.5,0.793562283126354,0.0187294291893577
"223",-38.5,-8,0.672302442233405,0.0677702481213971
"224",-38.5,-7,0.908942127261784,0.00176096624046071
"225",-38.5,-5,0.703568972933754,0.0515002320103296
"226",-38.5,-4.5,0.895154035855795,0.00265952239516853
"227",-38,-11.5,0.75633940833809,0.0298785917120753
"228",-38,-10,0.73029168808154,0.0396618467708976
"229",-38,-9.5,0.74280398642972,0.0347510792347919
"230",-38,-9,0.674996219632834,0.0961718702499643
"231",-38,-8,0.91163930488288,0.0113664756310994
"232",-38,-7.5,0.688114276164188,0.0592103550997969
"233",-38,-7,0.880100147503787,0.003930981709008
"234",-38,-6.5,0.760446070713306,0.0284888090043316
"235",-38,-4.5,0.653610706916458,0.0787808250355491
"236",-37.5,-10,0.666471389696756,0.0711007147924555
"237",-37.5,-9.5,0.803495875977276,0.0162836516218839
"238",-37.5,-9,0.678634370091575,0.0642600849839754
"239",-37.5,-8.5,0.645171505080931,0.084072581964768
"240",-37.5,-5.5,0.731409136572028,0.0392071356818031
"241",-37.5,-5,0.695619268436519,0.0553859186281814
"242",-37,-10,0.906075652344035,0.00192827190468715
"243",-37,-9.5,0.85901861843168,0.00628545179545863
"244",-37,-9,0.785639897273162,0.0208355563789577
"245",-37,-8.5,0.82637415596926,0.0114404957003035
"246",-37,-8,0.738190618077469,0.0365157136219008
"247",-37,-7,0.684702289966031,0.0609995778130372
"248",-37,-6,0.963028581174972,0.00202506086102092
